time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,loc_name,loc_admin1,loc_admin2,loc_cc
45:47.5,36.056,-98.03,5,2.5,mblg,,,,,us,usp0003b2d,2014-11-07T00:41:21.881Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Hennessey,Oklahoma,Kingfisher County,US
04:58.6,34.877,-95.512,5,2.1,md,,,,,us,usp0003bb0,2014-11-07T00:41:24.027Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Hartshorne,Oklahoma,Pittsburg County,US
59:20.4,36.38,-98.466,5,1.9,mblg,,,,,us,usp0003ck4,2014-11-07T00:41:33.624Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Fairview,Oklahoma,Major County,US
27:37.7,36.041,-96.824,5,1.4,md,,,,,us,usp0003e3p,2014-11-07T00:41:48.861Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Cushing,Oklahoma,Payne County,US
25:47.9,35.414,-96.573,5,2.3,md,,,,,us,usp0003e8m,2014-11-07T00:41:49.433Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Boley,Oklahoma,Okfuskee County,US
46:55.3,36.31,-98.543,5,2.3,md,,,,,us,usp0003efu,2014-11-07T00:41:50.523Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Fairview,Oklahoma,Major County,US
58:08.1,35.855,-99.207,5,1.7,md,,,,,us,usp0003f7k,2014-11-07T00:41:58.461Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Taloga,Oklahoma,Dewey County,US
56:55.5,34.743,-95.19,5,2.1,md,,,,,us,usp0003gqp,2014-11-07T00:42:16.763Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Talihina,Oklahoma,Le Flore County,US
14:50.0,36.533,-97.455,5,1.8,md,,,,,us,usp0003gz6,2014-11-07T00:42:19.466Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Tonkawa,Oklahoma,Kay County,US
12:45.6,34.507,-96.263,5,2.1,md,,,,,us,usp0003h60,2014-11-07T00:42:20.529Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Coalgate,Oklahoma,Coal County,US
22:40.0,35.91,-98.71,5,2.3,mblg,,,,,us,usp0003hma,2014-11-07T00:42:29.084Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Thomas,Oklahoma,Custer County,US
13:54.8,35.084,-97.373,5,1.7,md,,,,,us,usp0003j5v,2014-11-07T00:42:32.103Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Slaughterville,Oklahoma,Cleveland County,US
56:50.5,35.532,-95.355,5,0.9,md,,,,,us,usp0003kfy,2014-11-07T00:42:42.704Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Warner,Oklahoma,Muskogee County,US
44:30.1,34.926,-97.191,5,1.9,md,,,,,us,usp0003m2g,2014-11-07T00:42:49.733Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lexington,Oklahoma,Cleveland County,US
48:34.0,34.465,-96.847,5,1.9,mblg,,,,,us,usp0003mb5,2014-11-07T00:42:51.670Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Sulphur,Oklahoma,Murray County,US
02:01.0,34.472,-96.148,5,1.6,mblg,,,,,us,usp0003mgm,2014-11-07T00:42:55.487Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Atoka,Oklahoma,Atoka County,US
11:46.0,35.883,-98.075,5,2.1,mblg,,,,,us,usp0003mrg,2014-11-07T00:42:57.698Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Kingfisher,Oklahoma,Kingfisher County,US
42:06.8,34.091,-96.144,5,2.4,md,,,,,us,usp0003msx,2014-11-07T00:42:57.869Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Durant,Oklahoma,Bryan County,US
22:46.7,34.386,-96.831,5,2,mblg,,,,,us,usp0003rne,2014-11-07T00:43:34.858Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Sulphur,Oklahoma,Murray County,US
59:18.0,35.324,-96.464,5,2.1,md,,,,,us,usp0003s3p,2014-11-07T00:43:37.484Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Wewoka,Oklahoma,Seminole County,US
43:55.7,35.212,-95.862,5,1.4,md,,,,,us,usp0003s72,2014-11-07T00:43:37.986Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Henryetta,Oklahoma,Okmulgee County,US
49:48.6,36.405,-98.981,5,2.7,mblg,,,,1,us,usp0003xg5,2014-11-07T00:44:33.721Z,Oklahoma,earthquake,,,,,reviewed,us,us,Mooreland,Oklahoma,Woodward County,US
07:50.4,36.434,-98.876,5,3.1,mblg,,,,0.8,us,usp0003xgb,2014-11-07T00:44:33.750Z,Oklahoma,earthquake,,,,,reviewed,us,us,Mooreland,Oklahoma,Woodward County,US
02:14.1,35.629,-98.827,5,2.5,md,,,,,us,usp000455t,2014-11-07T00:45:40.687Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Thomas,Oklahoma,Custer County,US
13:32.4,34.8,-95.53,5,2.5,mblg,,,,,us,usp0004etd,2014-11-07T00:47:07.283Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Hartshorne,Oklahoma,Pittsburg County,US
44:41.4,34.76,-97.59,5,3.9,mblg,,,,,us,usp0004gz5,2014-11-07T00:47:26.962Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
00:26.9,36.378,-97.3,5,3,mblg,,,,,us,usp0004m37,2014-11-07T00:47:52.323Z,Oklahoma,earthquake,,,,,reviewed,tul,us,Perry,Oklahoma,Noble County,US
08:27.0,34.002,-97.585,5,1.9,md,,,,,us,usp00053r4,2014-11-07T00:50:12.213Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ringling,Oklahoma,Jefferson County,US
39:35.0,34.808,-97.667,5,2.2,md,,,,,us,usp00054jg,2014-11-07T00:50:17.684Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
25:49.3,35.261,-96.421,5,2.7,md,,,,,us,usp00059xx,2014-11-07T00:50:55.801Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Wewoka,Oklahoma,Seminole County,US
05:52.1,34.77,-96.491,5,2.2,md,,,,,us,usp0005c7p,2014-11-07T00:51:14.802Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
21:23.1,34.618,-96.542,5,2.2,md,,,,,us,usp0005c8n,2014-11-07T00:51:14.925Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ada,Oklahoma,Pontotoc County,US
03:04.2,34.982,-97.453,5,2.9,md,,,,,us,usp0005c8y,2014-11-07T00:51:14.972Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Purcell,Oklahoma,McClain County,US
44:08.6,36.402,-97.503,5,2.8,md,,,,,us,usp0005eyq,2014-11-07T00:51:37.860Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Perry,Oklahoma,Noble County,US
40:48.2,35.2,-97.55,5,2,mblg,,,,,us,usp0005h1f,2014-11-07T00:51:53.104Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Newcastle,Oklahoma,McClain County,US
22:30.6,34.808,-97.573,5,1.8,md,,,,,us,usp0005h2m,2014-11-07T00:51:53.235Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
21:43.2,34.83,-97.68,5,2.2,mblg,,,,,us,usp0005h4f,2014-11-07T00:51:53.449Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
56:09.9,34.83,-97.67,5,2.3,mblg,,,,,us,usp0005h8p,2014-11-07T00:51:54.019Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
14:57.9,34.9,-97.54,5,1.8,mblg,,,,,us,usp0005hqx,2014-11-07T00:51:58.892Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Lindsay,Oklahoma,Garvin County,US
01:17.6,34.756,-97.6,5,2.6,mblg,,,,0.6,us,usp0005jd9,2014-11-07T00:52:02.978Z,Oklahoma,earthquake,,,,,reviewed,us,gs$,Lindsay,Oklahoma,Garvin County,US
18:04.3,34.744,-97.581,5,3.6,mblg,,,,0.8,us,usp0005jdm,2014-11-07T00:52:02.994Z,Oklahoma,earthquake,,,,,reviewed,us,gs/,Lindsay,Oklahoma,Garvin County,US
06:10.4,36.595,-98.275,5,3.1,mblg,,,,,us,usp0005ks7,2014-11-07T00:52:14.002Z,Oklahoma,earthquake,,,,,reviewed,tul,gs$,Helena,Oklahoma,Alfalfa County,US
42:53.3,34.04,-97.1,5,2,mblg,,,,,us,usp0005me4,2014-11-07T00:52:17.252Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Marietta,Oklahoma,Love County,US
15:01.5,35.21,-95.93,5,2.7,mblg,,,,,us,usp0005pa4,2014-11-07T00:52:34.558Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Henryetta,Oklahoma,Okmulgee County,US
28:58.7,36.25,-98.09,5,3,mblg,,,,,us,usp0006bt3,2014-11-07T00:55:21.774Z,Oklahoma,earthquake,,,,,reviewed,tul,gs$,Waukomis,Oklahoma,Garfield County,US
28:27.8,34.676,-97.557,5,2.8,mblg,,,,0.7,us,usp0006f5r,2014-11-07T00:55:49.437Z,Oklahoma,earthquake,,,,,reviewed,us,gs$,Lindsay,Oklahoma,Garvin County,US
51:39.4,34.774,-97.596,5,4.2,mblg,,,,0.5,us,usp0006rjc,2014-11-07T00:57:09.443Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Lindsay,Oklahoma,Garvin County,US
10:12.3,36.9,-99.6,5,2.8,mblg,,,,,us,usp0006um6,2014-11-07T00:57:32.970Z,Oklahoma,earthquake,,,,,reviewed,mac,gs$,Buffalo,Oklahoma,Harper County,US
31:16.2,35.2,-99.028,5,3,mblg,,,,0.8,us,usp0006v6r,2014-11-07T00:57:39.674Z,Oklahoma,earthquake,,,,,reviewed,us,gs/,Cordell,Oklahoma,Washita County,US
49:29.3,34.287,-96.732,5,3,mblg,,,,,us,usp0006ye5,2014-11-07T00:58:03.672Z,Oklahoma,earthquake,,,,,reviewed,tul,gs$,Tishomingo,Oklahoma,Johnston County,US
31:33.3,36.87,-98.69,5,4.1,mblg,,,,,us,usp00073d2,2014-11-07T00:58:44.109Z,Oklahoma,earthquake,,,,,reviewed,tul,gs$,Alva,Oklahoma,Woods County,US
37:40.4,35.061,-99.337,5,2.9,mblg,,,,1.3,us,usp00077wk,2014-11-07T00:59:18.374Z,Oklahoma,earthquake,,,,,reviewed,us,gs$,Granite,Oklahoma,Greer County,US
29:57.7,35.081,-97.647,5,2.5,mblg,,,,0.92,us,usp0007upe,2014-11-07T01:01:48.303Z,Oklahoma,earthquake,,,,,reviewed,us,us,Blanchard,Oklahoma,McClain County,US
30:30.9,34.72,-97.499,5,2.5,mblg,,,,0.36,us,usp0007ynp,2014-11-07T01:02:19.163Z,Oklahoma,earthquake,,,,,reviewed,us,us,Maysville,Oklahoma,Garvin County,US
38:00.9,34.66,-96.435,5,4.5,mblg,,,,0.24,us,usp000877r,2017-04-13T22:10:01.364Z,Oklahoma,earthquake,,,,,reviewed,us,tul,Coalgate,Oklahoma,Coal County,US
13:01.7,34.782,-98.416,5,3.9,mb,,,,0.63,us,usp0008m38,2014-11-07T01:05:05.044Z,Oklahoma,earthquake,,,,1,reviewed,us,us,Apache,Oklahoma,Caddo County,US
44:44.5,34.719,-97.589,5,3.2,mblg,,,,0.83,us,usp0008r4d,2014-11-07T01:05:33.765Z,Oklahoma,earthquake,,,,,reviewed,us,us,Lindsay,Oklahoma,Garvin County,US
41:22.2,36.8,-97.6,5,3.5,mblg,,,,,us,usp0008xac,2014-11-07T01:06:18.659Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Medford,Oklahoma,Grant County,US
19:58.4,36.846,-99.659,26.1,3,mblg,,,,,us,usp0009gm3,2014-11-07T01:08:46.327Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Buffalo,Oklahoma,Harper County,US
16:23.8,35.393,-97.98,5,2.6,mblg,7,,,0.38,us,usp000a1f3,2014-11-07T01:11:15.259Z,Oklahoma,earthquake,,,,,reviewed,us,us,Union City,Oklahoma,Canadian County,US
31:27.6,34,-97.53,5,2.6,mblg,10,,,,us,usp000ax4g,2014-11-07T01:14:45.170Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ringling,Oklahoma,Jefferson County,US
07:13.6,34.727,-98.361,5,3.8,mblg,32,,,,us,usp000ay1d,2015-03-24T01:57:33.793Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Elgin,Oklahoma,Comanche County,US
52:04.6,34.27,-97.63,5,2.2,mblg,9,,,,us,usp000b060,2014-11-07T01:15:07.837Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Ringling,Oklahoma,Jefferson County,US
57:10.0,34.025,-97.619,5,3.3,mblg,10,,,1.33,us,usp000b59p,2014-11-07T01:15:41.515Z,Oklahoma,earthquake,,,,,reviewed,us,us,Ringling,Oklahoma,Jefferson County,US
18:13.0,34.274,-96.079,5,3.4,mblg,23,,,,us,usp000bewb,2017-06-26T21:06:55.153Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Atoka,Oklahoma,Atoka County,US
18:08.0,35.12,-97.525,5,2.4,md,9,104.9,,,us,usp000ceuc,2014-11-07T01:20:43.274Z,Oklahoma,earthquake,,,,,reviewed,tul,tul,Goldsby,Oklahoma,McClain County,US
